ProductID,MovementDateKey,MovementDate,MovementType,Quantity
45,20240101,2024-01-01,IN,35
45,20240108,2024-01-08,IN,38
45,20240115,2024-01-15,OUT,17
45,20240122,2024-01-22,OUT,34
45,20240129,2024-01-29,IN,37
45,20240205,2024-02-05,OUT,5
45,20240212,2024-02-12,IN,30
45,20240219,2024-02-19,IN,31
45,20240226,2024-02-26,OUT,11
45,20240304,2024-03-04,IN,11
45,20240311,2024-03-11,IN,18
45,20240318,2024-03-18,IN,26
45,20240325,2024-03-25,OUT,32
45,20240401,2024-04-01,OUT,3
45,20240408,2024-04-08,OUT,13
45,20240415,2024-04-15,IN,21
45,20240422,2024-04-22,OUT,18
45,20240429,2024-04-29,OUT,13
45,20240506,2024-05-06,OUT,31
45,20240513,2024-05-13,IN,31
45,20240520,2024-05-20,IN,16
45,20240527,2024-05-27,OUT,26
45,20240603,2024-06-03,IN,66
45,20240610,2024-06-10,IN,34
45,20240617,2024-06-17,IN,34
45,20240624,2024-06-24,IN,30
45,20240701,2024-07-01,OUT,1
45,20240708,2024-07-08,IN,34
45,20240715,2024-07-15,IN,28
45,20240722,2024-07-22,IN,25
45,20240729,2024-07-29,IN,23
45,20240805,2024-08-05,IN,23
45,20240812,2024-08-12,OUT,6
45,20240819,2024-08-19,OUT,25
45,20240826,2024-08-26,IN,50
45,20240902,2024-09-02,IN,23
45,20240909,2024-09-09,OUT,10
45,20240916,2024-09-16,IN,39
45,20240923,2024-09-23,IN,29
45,20240930,2024-09-30,IN,22
45,20241007,2024-10-07,IN,14
45,20241014,2024-10-14,OUT,5
45,20241021,2024-10-21,IN,27
45,20241028,2024-10-28,IN,40
45,20241104,2024-11-04,IN,21
45,20241111,2024-11-11,IN,15
45,20241118,2024-11-18,OUT,25
45,20241125,2024-11-25,OUT,34
45,20241202,2024-12-02,OUT,21
45,20241209,2024-12-09,OUT,15
45,20241216,2024-12-16,IN,30
45,20241223,2024-12-23,OUT,34
45,20241230,2024-12-30,IN,32
45,20250106,2025-01-06,IN,26
45,20250113,2025-01-13,OUT,12
45,20250120,2025-01-20,IN,36
45,20250127,2025-01-27,OUT,29
45,20250203,2025-02-03,IN,33
45,20250210,2025-02-10,IN,22
45,20250217,2025-02-17,IN,26
45,20250224,2025-02-24,IN,31
45,20250303,2025-03-03,IN,13
45,20250310,2025-03-10,IN,37
45,20250317,2025-03-17,OUT,1
45,20250324,2025-03-24,IN,26
45,20250331,2025-03-31,IN,26
45,20250407,2025-04-07,IN,19
45,20250414,2025-04-14,OUT,9
45,20250421,2025-04-21,IN,31
45,20250428,2025-04-28,OUT,8
45,20250505,2025-05-05,IN,20
45,20250512,2025-05-12,OUT,35
45,20250519,2025-05-19,IN,21
45,20250526,2025-05-26,IN,26
45,20250602,2025-06-02,IN,23
45,20250609,2025-06-09,IN,41
45,20250616,2025-06-16,OUT,33
45,20250623,2025-06-23,IN,15
45,20250630,2025-06-30,OUT,29
45,20250707,2025-07-07,OUT,1
45,20250714,2025-07-14,IN,32
45,20250721,2025-07-21,OUT,15
45,20250728,2025-07-28,OUT,31
45,20250804,2025-08-04,OUT,20
45,20250811,2025-08-11,OUT,29
45,20250818,2025-08-18,IN,31
45,20250825,2025-08-25,IN,49
45,20250901,2025-09-01,IN,29
45,20250908,2025-09-08,OUT,8
45,20250915,2025-09-15,OUT,21
45,20250922,2025-09-22,IN,26
45,20250929,2025-09-29,IN,13
45,20251006,2025-10-06,IN,29
45,20251013,2025-10-13,IN,31
45,20251020,2025-10-20,IN,37
45,20251027,2025-10-27,OUT,5
45,20251103,2025-11-03,IN,25
45,20251110,2025-11-10,Out,39
45,20251117,2025-11-17,IN,35
45,20251124,2025-11-24,OUT,17
45,20251201,2025-12-01,OUT,13
45,20251208,2025-12-08,IN,29
45,20251215,2025-12-15,IN,36
45,20251222,2025-12-22,OUT,48
45,20251229,2025-12-29,OUT,12
48,20240101,2024-01-01,OUT,8
48,20240108,2024-01-08,OUT,31
48,20240115,2024-01-15,IN,22
48,20240122,2024-01-22,IN,25
48,20240129,2024-01-29,IN,54
48,20240205,2024-02-05,IN,29
48,20240212,2024-02-12,IN,28
48,20240219,2024-02-19,IN,30
48,20240226,2024-02-26,OUT,35
48,20240304,2024-03-04,OUT,20
48,20240311,2024-03-11,OUT,32
48,20240318,2024-03-18,IN,31
48,20240325,2024-03-25,IN,13
48,20240401,2024-04-01,OUT,24
48,20240408,2024-04-08,IN,31
48,20240415,2024-04-15,IN,38
48,20240422,2024-04-22,OUT,19
48,20240429,2024-04-29,OUT,1
48,20240506,2024-05-06,IN,36
48,20240513,2024-05-13,OUT,21
48,20240520,2024-05-20,IN,24
48,20240527,2024-05-27,IN,16
48,20240603,2024-06-03,IN,49
48,20240610,2024-06-10,OUT,25
48,20240617,2024-06-17,IN,27
48,20240624,2024-06-24,OUT,20
48,20240701,2024-07-01,IN,43
48,20240708,2024-07-08,IN,22
48,20240715,2024-07-15,OUT,19
48,20240722,2024-07-22,OUT,8
48,20240729,2024-07-29,OUT,23
48,20240805,2024-08-05,OUT,13
48,20240812,2024-08-12,IN,36
48,20240819,2024-08-19,IN,28
48,20240826,2024-08-26,OUT,19
48,20240902,2024-09-02,OUT,25
48,20240909,2024-09-09,IN,22
48,20240916,2024-09-16,OUT,11
48,20240923,2024-09-23,OUT,16
48,20240930,2024-09-30,IN,18
48,20241007,2024-10-07,IN,29
48,20241014,2024-10-14,IN,40
48,20241021,2024-10-21,IN,34
48,20241028,2024-10-28,OUT,9
48,20241104,2024-11-04,IN,26
48,20241111,2024-11-11,IN,40
48,20241118,2024-11-18,IN,23
48,20241125,2024-11-25,IN,21
48,20241202,2024-12-02,IN,27
48,20241209,2024-12-09,OUT,8
48,20241216,2024-12-16,IN,21
48,20241223,2024-12-23,OUT,23
48,20241230,2024-12-30,OUT,6
48,20250106,2025-01-06,OUT,24
48,20250113,2025-01-13,OUT,24
48,20250120,2025-01-20,IN,17
48,20250127,2025-01-27,IN,21
48,20250203,2025-02-03,IN,31
48,20250210,2025-02-10,IN,65
48,20250217,2025-02-17,OUT,19
48,20250224,2025-02-24,OUT,19
48,20250303,2025-03-03,IN,22
48,20250310,2025-03-10,IN,36
48,20250317,2025-03-17,IN,18
48,20250324,2025-03-24,OUT,24
48,20250331,2025-03-31,OUT,9
48,20250407,2025-04-07,IN,29
48,20250414,2025-04-14,OUT,8
48,20250421,2025-04-21,IN,29
48,20250428,2025-04-28,OUT,27
48,20250505,2025-05-05,IN,27
48,20250512,2025-05-12,OUT,20
48,20250519,2025-05-19,OUT,28
48,20250526,2025-05-26,IN,29
48,20250602,2025-06-02,IN,29
48,20250609,2025-06-09,OUT,8
48,20250616,2025-06-16,OUT,27
48,20250623,2025-06-23,IN,43
48,20250630,2025-06-30,OUT,16
48,20250707,2025-07-07,IN,22
48,20250714,2025-07-14,IN,26
48,20250721,2025-07-21,OUT,1
48,20250728,2025-07-28,OUT,5
48,20250804,2025-08-04,IN,37
48,20250811,2025-08-11,OUT,19
48,20250818,2025-08-18,IN,39
48,20250825,2025-08-25,IN,40
48,20250901,2025-09-01,IN,16
48,20250908,2025-09-08,OUT,17
48,20250915,2025-09-15,IN,32
48,20250922,2025-09-22,IN,29
48,20250929,2025-09-29,IN,27
48,20251006,2025-10-06,IN,34
48,20251013,2025-10-13,IN,33
48,20251020,2025-10-20,IN,17
48,20251027,2025-10-27,OUT,6
48,20251103,2025-11-03,IN,28
48,20251110,2025-11-10,OUT,34
48,20251117,2025-11-17,OUT,14
48,20251124,2025-11-24,OUT,19
48,20251201,2025-12-01,IN,37
48,20251208,2025-12-08,OUT,23
48,20251215,2025-12-15,IN,14
48,20251222,2025-12-22,IN,19
48,20251229,2025-12-29,IN,19
5,20240101,2024-01-01,OUT,22
5,20240108,2024-01-08,OUT,28
5,20240115,2024-01-15,OUT,17
5,20240122,2024-01-22,IN,29
5,20240129,2024-01-29,IN,28
5,20240205,2024-02-05,IN,38
5,20240212,2024-02-12,IN,24
5,20240219,2024-02-19,OUT,30
5,20240226,2024-02-26,IN,20
5,20240304,2024-03-04,IN,24
5,20240311,2024-03-11,OUT,26
5,20240318,2024-03-18,IN,34
5,20240325,2024-03-25,IN,27
5,20240401,2024-04-01,OUT,16
5,20240408,2024-04-08,OUT,27
5,20240415,2024-04-15,IN,24
5,20240422,2024-04-22,IN,20
5,20240429,2024-04-29,OUT,7
5,20240506,2024-05-06,IN,36
5,20240513,2024-05-13,IN,21
5,20240520,2024-05-20,OUT,33
5,20240527,2024-05-27,IN,26
5,20240603,2024-06-03,IN,22
5,20240610,2024-06-10,OUT,23
5,20240617,2024-06-17,OUT,13
5,20240624,2024-06-24,IN,44
5,20240701,2024-07-01,IN,36
5,20240708,2024-07-08,IN,25
5,20240715,2024-07-15,OUT,14
5,20240722,2024-07-22,OUT,20
5,20240729,2024-07-29,IN,34
5,20240805,2024-08-05,OUT,18
5,20240812,2024-08-12,OUT,39
5,20240819,2024-08-19,IN,30
5,20240826,2024-08-26,IN,32
5,20240902,2024-09-02,OUT,11
5,20240909,2024-09-09,IN,38
5,20240916,2024-09-16,OUT,39
5,20240923,2024-09-23,IN,21
5,20240930,2024-09-30,OUT,35
5,20241007,2024-10-07,OUT,15
5,20241014,2024-10-14,IN,26
5,20241021,2024-10-21,OUT,24
5,20241028,2024-10-28,IN,34
5,20241104,2024-11-04,OUT,13
5,20241111,2024-11-11,OUT,36
5,20241118,2024-11-18,OUT,13
5,20241125,2024-11-25,OUT,-25
5,20241202,2024-12-02,OUT,26
5,20241209,2024-12-09,IN,42
5,20241216,2024-12-16,OUT,6
5,20241223,2024-12-23,OUT,1
5,20241230,2024-12-30,OUT,17
5,20250106,2025-01-06,IN,11
5,20250113,2025-01-13,OUT,19
5,20250120,2025-01-20,IN,37
5,20250127,2025-01-27,OUT,25
5,20250203,2025-02-03,OUT,25
5,20250210,2025-02-10,OUT,27
5,20250217,2025-02-17,IN,33
5,20250224,2025-02-24,IN,15
5,20250303,2025-03-03,IN,41
5,20250310,2025-03-10,OUT,22
5,20250317,2025-03-17,OUT,18
5,20250324,2025-03-24,OUT,18
5,20250331,2025-03-31,IN,34
5,20250407,2025-04-07,in,15
5,20250414,2025-04-14,OUT,27
5,20250421,2025-04-21,IN,43
5,20250428,2025-04-28,IN,20
5,20250505,2025-05-05,OUT,22
5,20250512,2025-05-12,IN,29
5,20250519,2025-05-19,IN,30
5,20250526,2025-05-26,IN,43
5,20250602,2025-06-02,OUT,24
5,20250609,2025-06-09,IN,27
5,20250616,2025-06-16,IN,29
5,20250623,2025-06-23,IN,26
5,20250630,2025-06-30,IN,24
5,20250707,2025-07-07,IN,23
5,20250714,2025-07-14,IN,30
5,20250721,2025-07-21,IN,21
5,20250728,2025-07-28,OUT,25
5,20250804,2025-08-04,OUT,4
5,20250811,2025-08-11,OUT,7
5,20250818,2025-08-18,OUT,14
5,20250825,2025-08-25,OUT,23
5,20250901,2025-09-01,OUT,13
5,20250908,2025-09-08,IN,41
5,20250915,2025-09-15,OUT,42
5,20250922,2025-09-22,Out,43
5,20250929,2025-09-29,OUT,16
5,20251006,2025-10-06,IN,43
5,20251013,2025-10-13,Out,25
5,20251020,2025-10-20,Out,27
5,20251027,2025-10-27,IN,25
5,20251103,2025-11-03,OUT,26
5,20251110,2025-11-10,IN,28
5,20251117,2025-11-17,IN,28
5,20251124,2025-11-24,IN,22
5,20251201,2025-12-01,IN,29
5,20251208,2025-12-08,IN,32
5,20251215,2025-12-15,IN,41
5,20251222,2025-12-22,OUT,14
5,20251229,2025-12-29,OUT,12
56,20240101,2024-01-01,IN,35
56,20240108,2024-01-08,IN,27
56,20240115,2024-01-15,IN,23
56,20240122,2024-01-22,OUT,28
56,20240129,2024-01-29,IN,25
56,20240205,2024-02-05,IN,33
56,20240212,2024-02-12,OUT,24
56,20240219,2024-02-19,OUT,32
56,20240226,2024-02-26,OUT,21
56,20240304,2024-03-04,IN,34
56,20240311,2024-03-11,IN,41
56,20240318,2024-03-18,IN,38
56,20240325,2024-03-25,OUT,31
56,20240401,2024-04-01,OUT,27
56,20240408,2024-04-08,OUT,24
56,20240415,2024-04-15,IN,21
56,20240422,2024-04-22,IN,37
56,20240429,2024-04-29,IN,29
56,20240506,2024-05-06,IN,28
56,20240513,2024-05-13,IN,17
56,20240520,2024-05-20,IN,30
56,20240527,2024-05-27,OUT,25
56,20240603,2024-06-03,IN,10
56,20240610,2024-06-10,IN,30
56,20240617,2024-06-17,IN,41
56,20240624,2024-06-24,OUT,36
56,20240701,2024-07-01,OUT,8
56,20240708,2024-07-08,IN,31
56,20240715,2024-07-15,IN,28
56,20240722,2024-07-22,IN,2
56,20240729,2024-07-29,IN,33
56,20240805,2024-08-05,IN,17
56,20240812,2024-08-12,OUT,24
56,20240819,2024-08-19,OUT,14
56,20240826,2024-08-26,OUT,16
56,20240902,2024-09-02,IN,12
56,20240909,2024-09-09,OUT,1
56,20240916,2024-09-16,IN,38
56,20240923,2024-09-23,OUT,17
56,20240930,2024-09-30,IN,30
56,20241007,2024-10-07,IN,35
56,20241014,2024-10-14,OUT,38
56,20241021,2024-10-21,IN,21
56,20241028,2024-10-28,OUT,22
56,20241104,2024-11-04,OUT,33
56,20241111,2024-11-11,OUT,31
56,20241118,2024-11-18,IN,20
56,20241125,2024-11-25,IN,22
56,20241202,2024-12-02,IN,27
56,20241209,2024-12-09,OUT,2
56,20241216,2024-12-16,OUT,10
56,20241223,2024-12-23,IN,33
56,20241230,2024-12-30,IN,41
56,20250106,2025-01-06,IN,24
56,20250113,2025-01-13,IN,31
56,20250120,2025-01-20,IN,33
56,20250127,2025-01-27,IN,34
56,20250203,2025-02-03,OUT,12
56,20250210,2025-02-10,IN,40
56,20250217,2025-02-17,IN,50
56,20250224,2025-02-24,IN,22
56,20250303,2025-03-03,IN,36
56,20250310,2025-03-10,IN,21
56,20250317,2025-03-17,IN,15
56,20250324,2025-03-24,IN,42
56,20250331,2025-03-31,OUT,30
56,20250407,2025-04-07,OUT,15
56,20250414,2025-04-14,IN,34
56,20250421,2025-04-21,OUT,20
56,20250428,2025-04-28,IN,33
56,20250505,2025-05-05,IN,6
56,20250512,2025-05-12,IN,34
56,20250519,2025-05-19,IN,18
56,20250526,2025-05-26,IN,46
56,20250602,2025-06-02,OUT,26
56,20250609,2025-06-09,IN,18
56,20250616,2025-06-16,OUT,29
56,20250623,2025-06-23,OUT,14
56,20250630,2025-06-30,OUT,24
56,20250707,2025-07-07,IN,44
56,20250714,2025-07-14,IN,35
56,20250721,2025-07-21,OUT,40
56,20250728,2025-07-28,OUT,32
56,20250804,2025-08-04,IN,12
56,20250811,2025-08-11,IN,31
56,20250818,2025-08-18,IN,32
56,20250825,2025-08-25,IN,31
56,20250901,2025-09-01,OUT,32
56,20250908,2025-09-08,IN,28
56,20250915,2025-09-15,IN,41
56,20250922,2025-09-22,IN,26
56,20250929,2025-09-29,OUT,8
56,20251006,2025-10-06,OUT,21
56,20251013,2025-10-13,IN,27
56,20251020,2025-10-20,OUT,19
56,20251027,2025-10-27,Out,24
56,20251103,2025-11-03,OUT,38
56,20251110,2025-11-10,OUT,40
56,20251117,2025-11-17,in,27
56,20251124,2025-11-24,OUT,19
56,20251201,2025-12-01,IN,39
56,20251208,2025-12-08,OUT,16
56,20251215,2025-12-15,IN,30
56,20251222,2025-12-22,IN,20
56,20251229,2025-12-29,IN,27
27,20240101,2024-01-01,IN,30
27,20240108,2024-01-08,IN,27
27,20240115,2024-01-15,OUT,33
27,20240122,2024-01-22,OUT,18
27,20240129,2024-01-29,IN,29
27,20240205,2024-02-05,IN,22
27,20240212,2024-02-12,IN,30
27,20240219,2024-02-19,OUT,17
27,20240226,2024-02-26,IN,16
27,20240304,2024-03-04,OUT,22
27,20240311,2024-03-11,IN,34
27,20240318,2024-03-18,IN,28
27,20240325,2024-03-25,OUT,26
27,20240401,2024-04-01,IN,26
27,20240408,2024-04-08,IN,33
27,20240415,2024-04-15,IN,41
27,20240422,2024-04-22,IN,33
27,20240429,2024-04-29,OUT,21
27,20240506,2024-05-06,OUT,25
27,20240513,2024-05-13,OUT,48
27,20240520,2024-05-20,IN,15
27,20240527,2024-05-27,OUT,18
27,20240603,2024-06-03,IN,41
27,20240610,2024-06-10,OUT,18
27,20240617,2024-06-17,OUT,17
27,20240624,2024-06-24,IN,44
27,20240701,2024-07-01,OUT,28
27,20240708,2024-07-08,IN,16
27,20240715,2024-07-15,IN,27
27,20240722,2024-07-22,OUT,23
27,20240729,2024-07-29,IN,28
27,20240805,2024-08-05,OUT,8
27,20240812,2024-08-12,OUT,17
27,20240819,2024-08-19,OUT,24
27,20240826,2024-08-26,IN,30
27,20240902,2024-09-02,OUT,45
27,20240909,2024-09-09,IN,29
27,20240916,2024-09-16,IN,15
27,20240923,2024-09-23,IN,39
27,20240930,2024-09-30,IN,29
27,20241007,2024-10-07,IN,30
27,20241014,2024-10-14,IN,17
27,20241021,2024-10-21,IN,25
27,20241028,2024-10-28,IN,33
27,20241104,2024-11-04,IN,28
27,20241111,2024-11-11,IN,33
27,20241118,2024-11-18,IN,24
27,20241125,2024-11-25,IN,22
27,20241202,2024-12-02,IN,36
27,20241209,2024-12-09,OUT,8
27,20241216,2024-12-16,OUT,4
27,20241223,2024-12-23,IN,18
27,20241230,2024-12-30,IN,27
27,20250106,2025-01-06,OUT,11
27,20250113,2025-01-13,IN,26
27,20250120,2025-01-20,OUT,1
27,20250127,2025-01-27,IN,29
27,20250203,2025-02-03,IN,13
27,20250210,2025-02-10,OUT,42
27,20250217,2025-02-17,OUT,25
27,20250224,2025-02-24,OUT,8
27,20250303,2025-03-03,OUT,20
27,20250310,2025-03-10,IN,42
27,20250317,2025-03-17,OUT,26
27,20250324,2025-03-24,OUT,9
27,20250331,2025-03-31,OUT,25
27,20250407,2025-04-07,IN,35
27,20250414,2025-04-14,OUT,16
27,20250421,2025-04-21,OUT,10
27,20250428,2025-04-28,IN,27
27,20250505,2025-05-05,OUT,38
27,20250512,2025-05-12,IN,6
27,20250519,2025-05-19,IN,38
27,20250526,2025-05-26,IN,48
27,20250602,2025-06-02,IN,22
27,20250609,2025-06-09,OUT,10
27,20250616,2025-06-16,OUT,18
27,20250623,2025-06-23,OUT,11
27,20250630,2025-06-30,OUT,27
27,20250707,2025-07-07,IN,34
27,20250714,2025-07-14,OUT,30
27,20250721,2025-07-21,IN,31
27,20250728,2025-07-28,IN,40
27,20250804,2025-08-04,IN,30
27,20250811,2025-08-11,IN,26
27,20250818,2025-08-18,IN,35
27,20250825,2025-08-25,IN,28
27,20250901,2025-09-01,OUT,12
27,20250908,2025-09-08,OUT,8
27,20250915,2025-09-15,IN,15
27,20250922,2025-09-22,OUT,8
27,20250929,2025-09-29,IN,21
27,20251006,2025-10-06,IN,19
27,20251013,2025-10-13,IN,43
27,20251020,2025-10-20,OUT,19
27,20251027,2025-10-27,OUT,15
27,20251103,2025-11-03,OUT,19
27,20251110,2025-11-10,OUT,33
27,20251117,2025-11-17,OUT,23
27,20251124,2025-11-24,OUT,14
27,20251201,2025-12-01,IN,37
27,20251208,2025-12-08,OUT,37
27,20251215,2025-12-15,OUT,16
27,20251222,2025-12-22,IN,3
27,20251229,2025-12-29,OUT,10
65,20240101,2024-01-01,OUT,17
65,20240108,2024-01-08,OUT,16
65,20240115,2024-01-15,OUT,14
65,20240122,2024-01-22,OUT,11
65,20240129,2024-01-29,IN,51
65,20240205,2024-02-05,OUT,14
65,20240212,2024-02-12,OUT,3
65,20240219,2024-02-19,IN,27
65,20240226,2024-02-26,OUT,13
65,20240304,2024-03-04,IN,32
65,20240311,2024-03-11,OUT,24
65,20240318,2024-03-18,IN,20
65,20240325,2024-03-25,Out,25
65,20240401,2024-04-01,IN,31
65,20240408,2024-04-08,OUT,22
65,20240415,2024-04-15,OUT,17
65,20240422,2024-04-22,IN,19
65,20240429,2024-04-29,IN,34
65,20240506,2024-05-06,IN,44
65,20240513,2024-05-13,OUT,25
65,20240520,2024-05-20,OUT,18
65,20240527,2024-05-27,IN,34
65,20240603,2024-06-03,IN,40
65,20240610,2024-06-10,OUT,18
65,20240617,2024-06-17,IN,31
65,20240624,2024-06-24,IN,36
65,20240701,2024-07-01,IN,38
65,20240708,2024-07-08,OUT,31
65,20240715,2024-07-15,IN,20
65,20240722,2024-07-22,OUT,26
65,20240729,2024-07-29,IN,23
65,20240805,2024-08-05,OUT,45
65,20240812,2024-08-12,IN,29
65,20240819,2024-08-19,IN,57
65,20240826,2024-08-26,IN,32
65,20240902,2024-09-02,IN,43
65,20240909,2024-09-09,OUT,17
65,20240916,2024-09-16,IN,35
65,20240923,2024-09-23,OUT,24
65,20240930,2024-09-30,OUT,21
65,20241007,2024-10-07,OUT,33
65,20241014,2024-10-14,OUT,23
65,20241021,2024-10-21,IN,18
65,20241028,2024-10-28,OUT,18
65,20241104,2024-11-04,OUT,24
65,20241111,2024-11-11,OUT,36
65,20241118,2024-11-18,IN,17
65,20241125,2024-11-25,IN,13
65,20241202,2024-12-02,OUT,12
65,20241209,2024-12-09,IN,40
65,20241216,2024-12-16,OUT,24
65,20241223,2024-12-23,IN,25
65,20241230,2024-12-30,OUT,1
65,20250106,2025-01-06,IN,32
65,20250113,2025-01-13,OUT,26
65,20250120,2025-01-20,IN,14
65,20250127,2025-01-27,IN,26
65,20250203,2025-02-03,OUT,6
65,20250210,2025-02-10,IN,45
65,20250217,2025-02-17,IN,35
65,20250224,2025-02-24,OUT,13
65,20250303,2025-03-03,IN,33
65,20250310,2025-03-10,IN,36
65,20250317,2025-03-17,IN,26
65,20250324,2025-03-24,OUT,20
65,20250331,2025-03-31,OUT,18
65,20250407,2025-04-07,IN,48
65,20250414,2025-04-14,IN,21
65,20250421,2025-04-21,IN,31
65,20250428,2025-04-28,IN,26
65,20250505,2025-05-05,OUT,11
65,20250512,2025-05-12,OUT,14
65,20250519,2025-05-19,IN,27
65,20250526,2025-05-26,OUT,21
65,20250602,2025-06-02,IN,23
65,20250609,2025-06-09,OUT,25
65,20250616,2025-06-16,OUT,23
65,20250623,2025-06-23,IN,36
65,20250630,2025-06-30,IN,27
65,20250707,2025-07-07,IN,40
65,20250714,2025-07-14,IN,41
65,20250721,2025-07-21,IN,44
65,20250728,2025-07-28,OUT,14
65,20250804,2025-08-04,IN,24
65,20250811,2025-08-11,IN,10
65,20250818,2025-08-18,IN,14
65,20250825,2025-08-25,OUT,1
65,20250901,2025-09-01,OUT,22
65,20250908,2025-09-08,IN,32
65,20250915,2025-09-15,IN,12
65,20250922,2025-09-22,OUT,14
65,20250929,2025-09-29,IN,17
65,20251006,2025-10-06,IN,27
65,20251013,2025-10-13,IN,31
65,20251020,2025-10-20,OUT,34
65,20251027,2025-10-27,OUT,2
65,20251103,2025-11-03,IN,31
65,20251110,2025-11-10,IN,38
65,20251117,2025-11-17,IN,22
65,20251124,2025-11-24,OUT,8
