OrderID,OrderDateKey,OrderDate,CustomerID,Currency,OrderStatus,PaymentMethod,ShipMode,ShipAddress
10000,20250209,2025-09-02 14:35:00,60,USD,Submitted,Wire,Standard,"City-3-2, Region-3, Netherlands"
10001,20251226,2025-12-26 00:00:00,229,EUR,Shipped,Card,Standard,"City-3-4, Region-3, France"
10002,20250316,2025-03-16 00:00:00,44,USD,Paid,Card,Same-Day,"City-2-5, Region-2, Spain"
10003,20241017,2024-10-17 00:00:00,205,USD,Shipped,PayPal,Express,"City-2-5, Region-2, United Kingdom"
10004,20250905,2025-09-05 00:00:00,156,GBP,Submitted,PayPal,Express,"City-2-3, Region-2, Poland"
10005,20250414,2025-04-14 00:00:00,169,USD,Submitted,Card,Express,"City-2-4, Region-2, Spain"
10006,20240813,2024-08-13 00:00:00,244,USD,Paid,Card,Express,"City-2-3, Region-2, Netherlands"
10007,20250220,2025-02-20 00:00:00,37,USD,Shipped,Card,Standard,"City-5-2, Region-5, Poland"
10008,20250706,2025-07-06 00:00:00,187,USD,Paid,Card,Standard,"City-5-3, Region-5, United Kingdom"
10009,20251115,2025-11-15 00:00:00,183,€,Shipped,Wire,Standard,"City-2-1, Region-2, Spain"
10010,20240613,2024-06-13 00:00:00,205,GBP,Submitted,Card,Standard,"City-2-5, Region-2, United Kingdom"
10011,20240621,2024-06-21 14:35:00,159,USD,Paid,Wire,Standard,"City-1-4, Region-1, Netherlands"
10012,20250211,2025-02-11 00:00:00,100,EUR,Shipped,Card,Standard,"City-4-4, Region-4, France"
10013,20250507,2025-05-07 00:00:00,98,EUR,Paid,Card,Standard,"City-3-4, Region-3, France"
10014,20240329,2024-03-29 00:00:00,62,EUR,Shipped,Card,Same-Day,"City-2-4, Region-2, Germany"
10015,20241206,2024-12-06 00:00:00,211,USD,Shipped,PayPal,Standard,"City-5-1, Region-5, Germany"
10016,20241219,2024-12-19 00:00:00,177,EUR,Paid,PayPal,Standard,"City-5-1, Region-5, Poland"
10017,20240204,2024-02-04 00:00:00,3,EUR,Paid,Card,Standard,"City-3-2, Region-3, France"
10018,20250705,2025-07-05 00:00:00,65,EUR,Shipped,Card,Standard,"City-1-2, Region-1, Germany"
10019,20241106,2024-11-06 00:00:00,227,GBP,Submitted,Card,Standard,"City-4-4, Region-4, Poland"
10020,20251107,2025-11-07 00:00:00,230,GBP,Shipped,Wire,Standard,"City-2-1, Region-2, Germany"
10021,20250821,2025-08-21 00:00:00,90,EUR,Paid,PayPal,Standard,"City-1-2, Region-1, France"
10022,20240912,2024-09-12 14:35:00,95,EUR,Paid,Wire,Standard,"City-3-1, Region-3, Germany"
10023,20241205,2024-12-05 00:00:00,3,USD,Shipped,Card,Standard,"City-3-2, Region-3, France"
10024,20240224,2024-02-24 00:00:00,24,USD,Paid,Invoice,Standard,"City-5-1, Region-5, United Kingdom"
10025,20241104,2024-11-04 00:00:00,194,EUR,Submitted,Card,Standard,"City-5-4, Region-5, United Kingdom"
10026,20241107,2024-11-07 00:00:00,192,USD,Shipped,Wire,Same-Day,"City-3-5, Region-3, France"
10027,20240829,2024-08-29 00:00:00,133,EUR,Shipped,PayPal,Standard,"City-3-5, Region-3, France"
